Date,Time,Tin,RHin
2025-10-29,00:00,26.20,79.40
2025-10-29,00:01,26.20,79.50
2025-10-29,00:02,26.20,79.50
2025-10-29,00:03,26.20,79.50
2025-10-29,00:04,26.20,79.50
2025-10-29,00:05,26.20,79.60
2025-10-29,00:06,26.20,79.60
2025-10-29,00:07,26.20,79.50
2025-10-29,00:08,26.20,79.50
2025-10-29,00:09,26.20,79.50
2025-10-29,00:10,26.20,79.50
2025-10-29,00:11,26.20,79.50
2025-10-29,00:12,26.20,79.50
2025-10-29,00:13,26.20,79.50
2025-10-29,00:14,26.20,79.60
2025-10-29,00:15,26.20,79.50
2025-10-29,00:16,26.20,79.60
2025-10-29,00:17,26.20,79.60
2025-10-29,00:18,26.20,79.60
2025-10-29,00:19,26.20,79.60
2025-10-29,00:20,26.20,79.60
2025-10-29,00:21,26.20,79.60
2025-10-29,00:22,26.20,79.70
2025-10-29,00:23,26.20,79.80
2025-10-29,00:24,26.20,79.70
2025-10-29,00:25,26.20,79.70
2025-10-29,00:26,26.20,79.70
2025-10-29,00:27,26.20,79.70
2025-10-29,00:28,26.20,79.70
2025-10-29,00:29,26.20,79.80
2025-10-29,00:30,26.20,79.90
2025-10-29,00:31,26.20,79.90
2025-10-29,00:32,26.20,79.80
2025-10-29,00:33,26.20,79.90
2025-10-29,00:34,26.20,79.80
2025-10-29,00:35,26.20,79.90
2025-10-29,00:36,26.20,79.90
2025-10-29,00:37,26.20,79.90
2025-10-29,00:38,26.20,80.00
2025-10-29,00:39,26.20,80.00
2025-10-29,00:40,26.20,79.90
2025-10-29,00:41,26.20,79.90
2025-10-29,00:42,26.20,79.90
2025-10-29,00:43,26.20,79.90
2025-10-29,00:44,26.20,79.90
2025-10-29,00:45,26.20,79.90
2025-10-29,00:46,26.20,79.90
2025-10-29,00:47,26.20,80.00
2025-10-29,00:48,26.20,79.90
2025-10-29,00:49,26.20,80.00
2025-10-29,00:50,26.20,79.90
2025-10-29,00:51,26.20,79.90
2025-10-29,00:52,26.20,80.00
2025-10-29,00:53,26.20,80.00
2025-10-29,00:54,26.20,80.00
2025-10-29,00:55,26.20,80.00
2025-10-29,00:56,26.20,80.00
2025-10-29,00:57,26.10,80.00
2025-10-29,00:58,26.10,80.00
2025-10-29,00:59,26.10,80.00
2025-10-29,01:00,26.10,80.00
2025-10-29,01:01,26.10,79.90
2025-10-29,01:02,26.10,80.00
2025-10-29,01:03,26.10,80.00
2025-10-29,01:04,26.10,80.00
2025-10-29,01:05,26.10,80.00
2025-10-29,01:06,26.10,80.10
2025-10-29,01:07,26.10,80.10
2025-10-29,01:08,26.10,80.10
2025-10-29,01:09,26.10,80.10
2025-10-29,01:10,26.10,80.10
2025-10-29,01:11,26.10,80.10
2025-10-29,01:12,26.10,80.10
2025-10-29,01:13,26.10,80.20
2025-10-29,01:14,26.10,80.20
2025-10-29,01:15,26.10,80.10
2025-10-29,01:16,26.10,80.10
2025-10-29,01:17,26.10,80.10
2025-10-29,01:18,26.10,80.10
2025-10-29,01:19,26.10,80.10
2025-10-29,01:20,26.10,80.20
2025-10-29,01:21,26.10,80.20
2025-10-29,01:22,26.10,80.20
2025-10-29,01:23,26.10,80.30
2025-10-29,01:24,26.10,80.20
2025-10-29,01:25,26.10,80.20
2025-10-29,01:26,26.10,80.30
2025-10-29,01:27,26.10,80.30
2025-10-29,01:28,26.10,80.30
2025-10-29,01:29,26.10,80.30
2025-10-29,01:30,26.10,80.30
2025-10-29,01:31,26.10,80.30
2025-10-29,01:32,26.10,80.30
2025-10-29,01:33,26.10,80.30
2025-10-29,01:34,26.10,80.40
2025-10-29,01:35,26.10,80.40
2025-10-29,01:36,26.10,80.40
2025-10-29,01:37,26.10,80.40
2025-10-29,01:38,26.10,80.40
2025-10-29,01:39,26.10,80.40
2025-10-29,01:40,26.10,80.40
2025-10-29,01:41,26.10,80.40
2025-10-29,01:42,26.10,80.40
2025-10-29,01:43,26.10,80.40
2025-10-29,01:44,26.10,80.40
2025-10-29,01:45,26.10,80.40
2025-10-29,01:46,26.10,80.50
2025-10-29,01:47,26.10,80.50
2025-10-29,01:48,26.10,80.50
2025-10-29,01:49,26.10,80.40
2025-10-29,01:50,26.10,80.50
2025-10-29,01:51,26.10,80.50
2025-10-29,01:52,26.10,80.60
2025-10-29,01:53,26.10,80.60
2025-10-29,01:54,26.10,80.70
2025-10-29,01:55,26.10,80.60
2025-10-29,01:56,26.10,80.60
2025-10-29,01:57,26.10,80.60
2025-10-29,01:58,26.10,80.60
2025-10-29,01:59,26.10,80.80
2025-10-29,02:00,26.10,80.70
2025-10-29,02:01,26.10,80.70
2025-10-29,02:02,26.10,80.70
2025-10-29,02:03,26.10,80.70
2025-10-29,02:04,26.10,80.70
2025-10-29,02:05,26.10,80.80
2025-10-29,02:06,26.10,80.70
2025-10-29,02:07,26.10,80.70
2025-10-29,02:08,26.10,80.70
2025-10-29,02:09,26.10,80.70
2025-10-29,02:10,26.10,80.70
2025-10-29,02:11,26.10,80.70
2025-10-29,02:12,26.10,80.80
2025-10-29,02:13,26.10,80.80
2025-10-29,02:14,26.10,80.80
2025-10-29,02:15,26.10,80.80
2025-10-29,02:16,26.10,80.80
2025-10-29,02:17,26.10,80.80
2025-10-29,02:18,26.10,80.80
2025-10-29,02:19,26.10,80.80
2025-10-29,02:20,26.10,80.90
2025-10-29,02:21,26.10,80.80
2025-10-29,02:22,26.10,80.90
2025-10-29,02:23,26.10,80.90
2025-10-29,02:24,26.10,80.90
2025-10-29,02:25,26.10,80.90
2025-10-29,02:26,26.10,80.90
2025-10-29,02:27,26.10,80.90
2025-10-29,02:28,26.10,80.90
2025-10-29,02:29,26.10,80.90
2025-10-29,02:30,26.10,80.90
2025-10-29,02:31,26.10,80.90
2025-10-29,02:32,26.10,80.90
2025-10-29,02:33,26.10,80.90
2025-10-29,02:34,26.10,80.90
2025-10-29,02:35,26.10,80.90
2025-10-29,02:36,26.10,81.00
2025-10-29,02:37,26.10,81.00
2025-10-29,02:38,26.10,81.10
2025-10-29,02:39,26.10,81.10
2025-10-29,02:40,26.10,81.00
2025-10-29,02:41,26.10,81.00
2025-10-29,02:42,26.10,81.00
2025-10-29,02:43,26.10,81.20
2025-10-29,02:44,26.10,81.10
2025-10-29,02:45,26.10,81.20
2025-10-29,02:46,26.10,81.20
2025-10-29,02:47,26.10,81.20
2025-10-29,02:48,26.10,81.20
2025-10-29,02:49,26.10,81.20
2025-10-29,02:50,26.10,81.20
2025-10-29,02:51,26.10,81.10
2025-10-29,02:52,26.10,81.20
2025-10-29,02:53,26.10,81.20
2025-10-29,02:54,26.10,81.10
2025-10-29,02:55,26.10,81.10
2025-10-29,02:56,26.10,81.10
2025-10-29,02:57,26.10,81.20
2025-10-29,02:58,26.10,81.10
2025-10-29,02:59,26.10,81.20
2025-10-29,03:00,26.10,81.20
2025-10-29,03:01,26.10,81.20
2025-10-29,03:02,26.10,81.20
2025-10-29,03:03,26.10,81.20
2025-10-29,03:04,26.10,81.30
2025-10-29,03:05,26.10,81.30
2025-10-29,03:06,26.10,81.20
2025-10-29,03:07,26.10,81.30
2025-10-29,03:08,26.10,81.30
2025-10-29,03:09,26.10,81.30
2025-10-29,03:10,26.10,81.40
2025-10-29,03:11,26.10,81.40
2025-10-29,03:12,26.10,81.40
2025-10-29,03:13,26.10,81.40
2025-10-29,03:14,26.10,81.40
2025-10-29,03:15,26.10,81.40
2025-10-29,03:16,26.10,81.40
2025-10-29,03:17,26.10,81.50
2025-10-29,03:18,26.10,81.50
2025-10-29,03:19,26.10,81.40
2025-10-29,03:20,26.10,81.50
2025-10-29,03:21,26.10,81.50
2025-10-29,03:22,26.10,81.40
2025-10-29,03:23,26.10,81.50
2025-10-29,03:24,26.10,81.40
2025-10-29,03:25,26.10,81.50
2025-10-29,03:26,26.10,81.60
2025-10-29,03:27,26.10,81.50
2025-10-29,03:28,26.10,81.50
2025-10-29,03:29,26.10,81.50
2025-10-29,03:30,26.10,81.60
2025-10-29,03:31,26.10,81.60
2025-10-29,03:32,26.10,81.60
2025-10-29,03:33,26.10,81.50
2025-10-29,03:34,26.10,81.60
2025-10-29,03:35,26.10,81.60
